subjID,experimentName,versionName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,objectSize,objectCategory,object,misscaled,objectScene1SemanticCongruency,scene1ZoomName,scene1Category,scene1,keyPress,accuracy,RT,ratingTrialNum,rating,ratingObject,ratingScene,experimentTime,totalTime,age,gender
657504,OSSe4,v1,1280,881,1280,1024,5-15-2023,7-47-25,3,12,small,kitchen,sponge.png,misscaled,1,zo,kitchen,k0_zo.png,c,1,1348,12,2,sponge.png,k0_zo.png,192358,440299,45,Woman
657504,OSSe4,v1,1280,881,1280,1024,5-15-2023,7-47-25,3,13,large,laundromat,shorts.png,scaled,0,zo,classroom,c3_zo.png,m,1,1447,13,5,shorts.png,c3_zo.png,192358,440299,45,Woman
657504,OSSe4,v1,1280,881,1280,1024,5-15-2023,7-47-25,3,14,small,kitchen,saltshaker.png,scaled,1,zi,kitchen,k5_zi.png,c,1,1300,14,1,saltshaker.png,k5_zi.png,192358,440299,45,Woman
657504,OSSe4,v1,1280,881,1280,1024,5-15-2023,7-47-25,3,15,small,bathroom,floss.png,scaled,1,zi,bathroom,b0_zi.png,c,1,1729,15,1,floss.png,b0_zi.png,192358,440299,45,Woman
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,0,small,bathroom,nailclipper.png,misscaled,1,zo,bathroom,b4_zo.png,m,0,1222,0,5,nailclipper.png,b4_zo.png,148672,278917,41,Man
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,1,small,kitchen,sponge.png,misscaled,1,zo,kitchen,k4_zo.png,c,1,956,1,4,sponge.png,k4_zo.png,148672,278917,41,Man
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,2,large,classroom,clipboard.png,scaled,1,zo,classroom,c0_zo.png,c,1,970,2,3,clipboard.png,c0_zo.png,148672,278917,41,Man
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,3,small,bathroom,floss.png,scaled,1,zi,bathroom,b0_zi.png,c,1,1089,3,3,floss.png,b0_zi.png,148672,278917,41,Man
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,4,large,bathroom,hairdryer.png,scaled,1,zo,bathroom,b1_zo.png,c,1,798,4,4,hairdryer.png,b1_zo.png,148672,278917,41,Man
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,5,large,kitchen,kettle.png,misscaled,0,zi,classroom,c1_zi.png,m,1,1151,5,1,kettle.png,c1_zi.png,148672,278917,41,Man
