subjID,experimentName,versionName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,objectSize,objectCategory,object,misscaled,objectScene1SemanticCongruency,scene1ZoomName,scene1Category,scene1,scene2SizeCong,scene2SemCong,scene2ZoomName,scene2Category,scene2,keyPress,accuracy,RT,experimentTime,totalTime
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,4,small,laundromat,socks.png,scaled,0,zi,classroom,c4_zi.png,1,0,zi,bathroom,b4_zi.png,m,1,748,62099,219244
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,5,large,laundromat,shorts.png,misscaled,1,zi,laundromat,l3_zi.png,1,1,zi,laundromat,l5_zi.png,c,1,518,62099,219244
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,6,small,bathroom,lipstick.png,misscaled,0,zo,classroom,c2_zo.png,1,0,zo,kitchen,k2_zo.png,m,1,748,62099,219244
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,7,large,classroom,powerstrip.png,misscaled,0,zi,laundromat,l0_zi.png,0,0,zo,bathroom,b0_zo.png,c,0,877,62099,219244
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,8,large,kitchen,pot.png,scaled,1,zo,kitchen,k4_zo.png,0,1,zi,kitchen,k5_zi.png,c,1,772,62099,219244
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,9,small,bathroom,nailclipper.png,misscaled,1,zo,bathroom,b2_zo.png,1,0,zo,classroom,c1_zo.png,c,0,789,62099,219244
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,10,small,classroom,eraser.png,misscaled,0,zo,bathroom,b4_zo.png,0,1,zi,bathroom,b0_zi.png,c,1,701,62099,219244
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,11,small,classroom,binderclip.png,scaled,0,zi,laundromat,l1_zi.png,0,0,zo,bathroom,b3_zo.png,c,0,965,62099,219244
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,12,large,classroom,notebook.png,misscaled,1,zi,classroom,c0_zi.png,0,0,zo,laundromat,l2_zo.png,m,1,933,62099,219244
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,13,large,laundromat,shirt.png,scaled,1,zo,laundromat,l0_zo.png,0,0,zi,classroom,c1_zi.png,m,1,940,62099,219244
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,14,small,classroom,paperclip.png,scaled,1,zi,classroom,c2_zi.png,0,0,zo,laundromat,l4_zo.png,m,1,573,62099,219244
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,15,large,bathroom,loofah.png,scaled,0,zo,kitchen,k5_zo.png,0,1,zi,kitchen,k1_zi.png,c,1,756,62099,219244
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,0,small,bathroom,floss.png,scaled,0,zi,kitchen,k4_zi.png,1,0,zi,laundromat,l0_zi.png,none,0,2001,72715,288310
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,1,large,bathroom,loofah.png,misscaled,0,zi,classroom,c2_zi.png,1,1,zi,classroom,c3_zi.png,c,1,1744,72715,288310
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,2,small,kitchen,sponge.png,misscaled,1,zo,kitchen,k5_zo.png,1,0,zo,classroom,c3_zo.png,none,0,2001,72715,288310
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,3,small,laundromat,coins.png,misscaled,1,zo,laundromat,l3_zo.png,0,0,zi,kitchen,k3_zi.png,m,1,1844,72715,288310
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,4,large,bathroom,hairdryer.png,misscaled,1,zi,bathroom,b0_zi.png,0,1,zo,bathroom,b5_zo.png,c,1,1745,72715,288310
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,5,large,bathroom,tissuebox.png,scaled,1,zo,bathroom,b2_zo.png,1,0,zo,laundromat,l1_zo.png,none,0,2000,72715,288310
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,6,small,laundromat,socks.png,misscaled,0,zo,classroom,c5_zo.png,1,1,zo,classroom,c4_zo.png,c,1,1030,72715,288310
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,7,large,classroom,notebook.png,misscaled,1,zi,classroom,c1_zi.png,1,1,zi,classroom,c4_zi.png,c,1,925,72715,288310
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,8,large,kitchen,kettle.png,scaled,1,zo,kitchen,k1_zo.png,0,1,zi,kitchen,k2_zi.png,c,1,1539,72715,288310
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,9,small,classroom,paperclip.png,misscaled,0,zo,laundromat,l5_zo.png,0,1,zi,laundromat,l2_zi.png,c,1,1111,72715,288310
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,10,large,kitchen,toaster.png,scaled,0,zo,laundromat,l2_zo.png,1,1,zo,laundromat,l4_zo.png,c,1,1190,72715,288310
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,11,large,laundromat,shirt.png,scaled,0,zo,classroom,c2_zo.png,0,1,zi,classroom,c5_zi.png,c,1,1039,72715,288310
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,12,small,bathroom,lipstick.png,scaled,0,zi,laundromat,l1_zi.png,0,1,zo,laundromat,l0_zo.png,c,1,1229,72715,288310
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,13,small,classroom,eraser.png,scaled,1,zi,classroom,c0_zi.png,1,0,zi,bathroom,b1_zi.png,m,1,1206,72715,288310
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,14,large,laundromat,detergent.png,misscaled,0,zi,bathroom,b3_zi.png,0,0,zo,classroom,c0_zo.png,m,1,1483,72715,288310
388173,OSS,v6,1920,946,1920,1080,12-14-2022,14-55-3,3,15,small,laundromat,tidepod.png,scaled,1,zi,laundromat,l5_zi.png,1,1,zi,laundromat,l4_zi.png,c,1,1002,72715,288310
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,0,small,classroom,paperclip.png,scaled,1,zi,classroom,c2_zi.png,1,0,zi,bathroom,b4_zi.png,m,1,936,61755,125128
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,1,small,laundromat,coins.png,misscaled,1,zo,laundromat,l0_zo.png,0,0,zi,bathroom,b0_zi.png,m,1,969,61755,125128
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,2,large,laundromat,detergent.png,scaled,0,zo,classroom,c3_zo.png,1,0,zo,kitchen,k0_zo.png,m,1,654,61755,125128
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,3,small,kitchen,saltshaker.png,scaled,0,zi,bathroom,b5_zi.png,1,1,zi,bathroom,b1_zi.png,c,1,825,61755,125128
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,4,large,classroom,notebook.png,scaled,0,zo,bathroom,b5_zo.png,0,1,zi,bathroom,b2_zi.png,c,1,831,61755,125128
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,5,small,bathroom,floss.png,misscaled,1,zo,bathroom,b2_zo.png,0,0,zi,laundromat,l1_zi.png,m,1,864,61755,125128
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,6,small,bathroom,lipstick.png,misscaled,0,zo,classroom,c2_zo.png,0,1,zi,classroom,c5_zi.png,c,1,920,61755,125128
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,7,large,classroom,computer.png,misscaled,0,zi,bathroom,b3_zi.png,0,1,zo,bathroom,b4_zo.png,c,1,762,61755,125128
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,8,large,laundromat,shirt.png,misscaled,1,zi,laundromat,l3_zi.png,0,1,zo,laundromat,l2_zo.png,c,1,685,61755,125128
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,9,small,laundromat,tidepod.png,scaled,1,zi,laundromat,l0_zi.png,0,0,zo,bathroom,b3_zo.png,c,0,913,61755,125128
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,10,small,bathroom,nailclipper.png,scaled,0,zi,kitchen,k3_zi.png,0,0,zo,laundromat,l4_zo.png,m,1,799,61755,125128
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,11,large,classroom,powerstrip.png,scaled,1,zo,classroom,c0_zo.png,1,0,zo,kitchen,k4_zo.png,m,1,713,61755,125128
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,12,large,kitchen,pot.png,scaled,1,zo,kitchen,k2_zo.png,1,0,zo,laundromat,l5_zo.png,m,1,776,61755,125128
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,13,large,bathroom,loofah.png,misscaled,0,zi,classroom,c0_zi.png,1,0,zi,laundromat,l5_zi.png,m,1,672,61755,125128
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,14,small,classroom,binderclip.png,misscaled,0,zo,laundromat,l3_zo.png,1,0,zo,bathroom,b0_zo.png,m,1,726,61755,125128
507721,OSS,v6,1536,722,1536,864,12-14-2022,12-38-23,1,15,large,kitchen,toaster.png,misscaled,1,zi,kitchen,k1_zi.png,1,1,zi,kitchen,k0_zi.png,c,1,988,61755,125128
870192,OSS,v6,1920,969,1920,1080,12-14-2022,15-6-35,1,0,small,classroom,paperclip.png,scaled,1,zi,classroom,c3_zi.png,1,0,zi,laundromat,l2_zi.png,m,1,720,59382,125541
870192,OSS,v6,1920,969,1920,1080,12-14-2022,15-6-35,1,1,large,laundromat,shorts.png,misscaled,0,zi,kitchen,k4_zi.png,1,0,zi,classroom,c1_zi.png,m,1,1148,59382,125541
870192,OSS,v6,1920,969,1920,1080,12-14-2022,15-6-35,1,2,small,kitchen,spoon.png,misscaled,1,zo,kitchen,k0_zo.png,0,0,zi,classroom,c4_zi.png,m,1,773,59382,125541
870192,OSS,v6,1920,969,1920,1080,12-14-2022,15-6-35,1,3,large,classroom,notebook.png,misscaled,0,zi,laundromat,l5_zi.png,0,1,zo,laundromat,l4_zo.png,c,1,699,59382,125541
870192,OSS,v6,1920,969,1920,1080,12-14-2022,15-6-35,1,4,small,classroom,binderclip.png,misscaled,0,zo,bathroom,b1_zo.png,0,0,zi,laundromat,l3_zi.png,m,1,880,59382,125541
870192,OSS,v6,1920,969,1920,1080,12-14-2022,15-6-35,1,5,large,classroom,powerstrip.png,scaled,0,zo,laundromat,l5_zo.png,0,0,zi,bathroom,b1_zi.png,m,1,831,59382,125541
870192,OSS,v6,1920,969,1920,1080,12-14-2022,15-6-35,1,6,large,kitchen,toaster.png,scaled,0,zo,classroom,c0_zo.png,1,0,zo,laundromat,l1_zo.png,m,1,908,59382,125541
870192,OSS,v6,1920,969,1920,1080,12-14-2022,15-6-35,1,7,small,bathroom,lipstick.png,scaled,1,zi,bathroom,b2_zi.png,1,1,zi,bathroom,b4_zi.png,c,1,594,59382,125541
870192,OSS,v6,1920,969,1920,1080,12-14-2022,15-6-35,1,8,small,bathroom,nailclipper.png,misscaled,1,zo,bathroom,b4_zo.png,1,1,zo,bathroom,b5_zo.png,c,1,556,59382,125541
870192,OSS,v6,1920,969,1920,1080,12-14-2022,15-6-35,1,9,large,bathroom,tissuebox.png,misscaled,1,zi,bathroom,b5_zi.png,1,0,zi,classroom,c0_zi.png,m,1,648,59382,125541
870192,OSS,v6,1920,969,1920,1080,12-14-2022,15-6-35,1,10,small,kitchen,saltshaker.png,scaled,0,zi,bathroom,b3_zi.png,0,0,zo,classroom,c2_zo.png,m,1,583,59382,125541
870192,OSS,v6,1920,969,1920,1080,12-14-2022,15-6-35,1,11,large,kitchen,kettle.png,scaled,1,zo,kitchen,k4_zo.png,0,0,zi,classroom,c2_zi.png,m,1,547,59382,125541
870192,OSS,v6,1920,969,1920,1080,12-14-2022,15-6-35,1,12,small,bathroom,floss.png,scaled,0,zi,kitchen,k2_zi.png,1,1,zi,kitchen,k5_zi.png,c,1,568,59382,125541
